,index,t_bett,t_motor,t_spindle,M8,M121,M127,M7,given2model,date,welle_z,prediction,DRZ2,interpolated_welle_z
0,0,22.4,22.92,21.8,0.0,0.0,0.0,0.0,True,2023-02-25 10:00:20.154,-1.9531249563442543e-05,-0.00010157251358032227,50.1251220703125,-1.9531249563442543e-05
1,1,22.4,22.9,21.7,0.0,0.0,0.0,0.0,True,2023-02-25 10:00:25.194,-1.9531249563442543e-05,-8.794808387756347e-05,50.1251220703125,-3.2552073510790543e-06
2,2,22.4,22.94,21.7,0.0,0.0,0.0,0.0,True,2023-02-25 10:00:30.257,-1.9531249563442543e-05,-7.399570941925049e-05,50.1251220703125,1.3020834861284435e-05
3,3,22.4,22.9,21.7,0.0,0.0,0.0,0.0,True,2023-02-25 10:00:35.344,-1.9531249563442543e-05,-6.110846996307373e-05,50.1251220703125,2.929687707364792e-05
4,4,22.4,22.86,21.7,0.0,0.0,0.0,0.0,True,2023-02-25 10:00:40.417,-1.9531249563442543e-05,-5.473864078521728e-05,50.1251220703125,4.557291928601141e-05
5,5,22.4,22.9,21.7,0.0,0.0,0.0,0.0,True,2023-02-25 10:00:45.451,-1.9531249563442543e-05,-4.446029663085937e-05,50.1251220703125,6.18489614983749e-05
6,6,22.4,22.9,21.7,0.0,0.0,0.0,0.0,True,2023-02-25 10:00:50.476,-1.9531249563442543e-05,-3.6603927612304685e-05,50.1251220703125,7.812500371073838e-05
7,7,22.4,22.9,21.7,0.0,0.0,0.0,0.0,True,2023-02-25 10:00:55.532,-1.9531249563442543e-05,-2.4561166763305663e-05,50.1251220703125,9.440104592310188e-05
8,8,22.4,22.91,21.7,0.0,0.0,0.0,0.0,True,2023-02-25 10:01:00.588,-1.9531249563442543e-05,-6.239891052246094e-06,50.1251220703125,0.00011067708813546537
9,9,22.4,22.83,21.7,0.0,0.0,0.0,0.0,True,2023-02-25 10:01:05.666,-1.9531249563442543e-05,5.218029022216797e-06,50.1251220703125,0.00012695313034782885
10,10,22.4,22.9,21.7,0.0,0.0,0.0,0.0,True,2023-02-25 10:01:10.686,-1.9531249563442543e-05,2.304410934448242e-05,50.1251220703125,0.00014322917256019235
11,11,22.4,22.9,21.7,0.0,0.0,0.0,0.0,True,2023-02-25 10:01:15.720,-1.9531249563442543e-05,3.635501861572266e-05,50.1251220703125,0.00015950521477255583
12,12,22.4,22.9,21.7,0.0,0.0,0.0,0.0,True,2023-02-25 10:01:20.757,0.0001757812569849193,3.0538558959960936e-05,50.182342529296875,0.0001757812569849193
13,13,22.4,22.9,21.7,0.0,0.0,0.0,0.0,True,2023-02-25 10:01:25.771,0.0001757812569849193,2.3820042610168458e-05,50.182342529296875,0.00017944336650543846
14,14,22.4,22.9,21.7,0.0,0.0,0.0,0.0,True,2023-02-25 10:01:30.843,0.0001757812569849193,3.909754753112793e-05,50.182342529296875,0.00018310547602595761
15,15,22.4,22.9,21.7,0.0,0.0,0.0,0.0,True,2023-02-25 10:01:35.880,0.0001757812569849193,3.297138214111328e-05,50.182342529296875,0.00018676758554647677
16,16,22.4,22.9,21.8,0.0,0.0,0.0,0.0,True,2023-02-25 10:01:40.966,0.0001757812569849193,1.9746780395507812e-05,50.182342529296875,0.00019042969506699592
17,17,22.4,22.9,21.8,0.0,0.0,0.0,0.0,True,2023-02-25 10:01:46.006,0.0001757812569849193,6.6285133361816405e-06,50.182342529296875,0.00019409180458751507
18,18,22.4,22.9,21.8,0.0,0.0,0.0,0.0,True,2023-02-25 10:01:51.045,0.0001757812569849193,-6.364822387695313e-06,50.182342529296875,0.00019775391410803422
