,Unnamed: 0,date,t_bett,t_motor,t_spindle,DRZ2,M8,M121,M127,M7,given2model,welle_z,welle_z_iterpolated
0,0,2022-12-10 02:30:11.217,22.0,22.6,21.7,50.1251220703125,0.0,0.0,0.0,0.0,False,-0.000615,-0.000615
1,1,2022-12-10 02:30:16.242,22.0,22.67,21.7,50.1251220703125,0.0,0.0,0.0,0.0,False,-0.000615,-0.0009469999999999999
2,2,2022-12-10 02:30:16.849,22.0,22.6,21.7,50.1251220703125,0.0,0.0,0.0,0.0,True,-0.001279,-0.001279
3,3,2022-12-10 02:30:21.296,22.0,22.6,21.7,50.1251220703125,0.0,0.0,0.0,0.0,False,-0.001279,-0.0012718666666666667
4,4,2022-12-10 02:30:26.358,22.0,22.6,21.7,50.1251220703125,0.0,0.0,0.0,0.0,False,-0.001279,-0.0012647333333333332
5,5,2022-12-10 02:30:31.364,22.0,22.6,21.7,50.1251220703125,0.0,0.0,0.0,0.0,False,-0.001279,-0.0012576
6,6,2022-12-10 02:30:36.401,22.0,22.63,21.7,49.83901977539063,0.0,0.0,0.0,0.0,False,-0.001279,-0.0012504666666666667
7,7,2022-12-10 02:30:41.441,22.0,22.6,21.7,49.83901977539063,0.0,0.0,0.0,0.0,False,-0.001279,-0.0012433333333333333
8,8,2022-12-10 02:30:46.534,22.0,22.61,21.7,49.83901977539063,0.0,0.0,0.0,0.0,False,-0.001279,-0.0012362
9,9,2022-12-10 02:30:51.552,22.0,22.6,21.7,49.83901977539063,0.0,0.0,0.0,0.0,False,-0.001279,-0.0012290666666666668
10,10,2022-12-10 02:30:56.584,22.0,22.6,21.7,49.83901977539063,0.0,0.0,0.0,0.0,False,-0.001279,-0.0012219333333333333
11,11,2022-12-10 02:31:01.589,22.0,22.6,21.8,49.83901977539063,0.0,0.0,0.0,0.0,False,-0.001279,-0.0012148
12,12,2022-12-10 02:31:06.604,22.0,22.61,21.8,49.83901977539063,0.0,0.0,0.0,0.0,False,-0.001279,-0.0012076666666666668
13,13,2022-12-10 02:31:11.613,22.0,22.6,21.8,49.83901977539063,0.0,0.0,0.0,0.0,False,-0.001279,-0.0012005333333333333
14,14,2022-12-10 02:31:16.630,22.0,22.6,21.8,49.83901977539063,0.0,0.0,0.0,0.0,False,-0.001279,-0.0011934
15,15,2022-12-10 02:31:21.671,22.0,22.6,21.8,49.83901977539063,0.0,0.0,0.0,0.0,False,-0.001279,-0.0011862666666666668
16,16,2022-12-10 02:31:26.755,22.0,22.6,21.8,49.83901977539063,0.0,0.0,0.0,0.0,False,-0.001279,-0.0011791333333333333
17,17,2022-12-10 02:31:26.945,22.0,22.6,21.8,49.83901977539063,0.0,0.0,0.0,0.0,True,-0.001172,-0.001172
18,18,2022-12-10 02:31:31.805,22.0,22.62,21.8,49.83901977539063,0.0,0.0,0.0,0.0,False,-0.001172,-0.0009641428571428572
19,19,2022-12-10 02:31:36.809,22.0,22.6,21.8,49.83901977539063,0.0,0.0,0.0,0.0,False,-0.001172,-0.0007562857142857143
20,20,2022-12-10 02:31:41.815,22.0,23.08,21.9,49.83901977539063,0.0,0.0,0.0,0.0,False,-0.001172,-0.0005484285714285715
21,21,2022-12-10 02:31:46.941,22.0,23.06,21.8,3000.18310546875,0.0,0.0,0.0,0.0,False,-0.001172,-0.0003405714285714286
22,22,2022-12-10 02:31:51.996,22.0,23.07,21.9,3000.18310546875,0.0,0.0,0.0,0.0,False,-0.001172,-0.0001327142857142857
23,23,2022-12-10 02:31:57.042,22.0,23.03,21.9,3000.18310546875,0.0,0.0,0.0,0.0,False,-0.001172,7.514285714285717e-05
24,24,2022-12-10 02:32:02.086,22.0,23.1,22.0,3000.18310546875,0.0,0.0,0.0,0.0,False,-0.001172,0.00028300000000000005
25,25,2022-12-10 02:32:07.111,22.0,23.1,22.0,3000.18310546875,0.0,0.0,0.0,0.0,False,-0.001172,0.0004908571428571429
26,26,2022-12-10 02:32:12.144,22.0,23.17,22.1,3000.18310546875,0.0,0.0,0.0,0.0,False,-0.001172,0.0006987142857142858
27,27,2022-12-10 02:32:17.146,22.0,23.2,22.1,3000.18310546875,0.0,0.0,0.0,0.0,False,-0.001172,0.0009065714285714287
28,28,2022-12-10 02:32:22.153,22.0,23.2,22.2,3000.18310546875,0.0,0.0,0.0,0.0,False,-0.001172,0.0011144285714285716
29,29,2022-12-10 02:32:27.167,22.0,23.3,22.2,3000.18310546875,0.0,0.0,0.0,0.0,False,-0.001172,0.0013222857142857144
30,30,2022-12-10 02:32:32.226,22.0,23.4,22.3,3000.18310546875,0.0,0.0,0.0,0.0,False,-0.001172,0.0015301428571428573
31,31,2022-12-10 02:32:37.046,22.0,23.53,22.3,3000.18310546875,0.0,0.0,0.0,0.0,True,0.001738,0.001738
32,32,2022-12-10 02:32:37.230,22.0,23.15,22.3,3000.18310546875,0.0,0.0,0.0,0.0,False,0.001738,0.0018174666666666665
33,33,2022-12-10 02:32:42.260,22.0,23.26,22.4,3000.18310546875,0.0,0.0,0.0,0.0,False,0.001738,0.0018969333333333333
34,34,2022-12-10 02:32:47.274,22.0,23.32,22.4,3000.18310546875,0.0,0.0,0.0,0.0,False,0.001738,0.0019764
35,35,2022-12-10 02:32:52.278,22.0,23.99,22.3,2999.782470703125,0.0,0.0,0.0,0.0,False,0.001738,0.0020558666666666667
36,36,2022-12-10 02:32:57.340,22.0,24.02,22.3,2999.782470703125,0.0,0.0,0.0,0.0,False,0.001738,0.0021353333333333333
37,37,2022-12-10 02:33:02.432,22.0,24.12,22.3,2999.782470703125,0.0,0.0,0.0,0.0,False,0.001738,0.0022148
38,38,2022-12-10 02:33:07.534,22.0,24.23,22.4,2999.782470703125,0.0,0.0,0.0,0.0,False,0.001738,0.0022942666666666664
39,39,2022-12-10 02:33:12.565,22.0,24.25,22.4,2999.782470703125,0.0,0.0,0.0,0.0,False,0.001738,0.0023737333333333334
40,40,2022-12-10 02:33:17.617,22.0,24.4,22.5,2999.782470703125,0.0,0.0,0.0,0.0,False,0.001738,0.0024532
41,41,2022-12-10 02:33:22.642,22.0,24.41,22.5,2999.782470703125,0.0,0.0,0.0,0.0,False,0.001738,0.0025326666666666666
42,42,2022-12-10 02:33:27.691,22.0,24.58,22.6,2999.782470703125,0.0,0.0,0.0,0.0,False,0.001738,0.002612133333333333
43,43,2022-12-10 02:33:32.749,22.0,24.56,22.6,2999.782470703125,0.0,0.0,0.0,0.0,False,0.001738,0.0026915999999999997
44,44,2022-12-10 02:33:37.826,22.0,24.78,22.7,2999.782470703125,0.0,0.0,0.0,0.0,False,0.001738,0.0027710666666666663
45,45,2022-12-10 02:33:42.835,22.0,24.79,22.7,2999.782470703125,0.0,0.0,0.0,0.0,False,0.001738,0.002850533333333333
46,46,2022-12-10 02:33:47.107,22.0,24.86,22.8,2999.782470703125,0.0,0.0,0.0,0.0,True,0.00293,0.00293
47,47,2022-12-10 02:33:47.899,22.0,24.3,22.8,2999.782470703125,0.0,0.0,0.0,0.0,False,0.00293,0.003225533333333333
48,48,2022-12-10 02:33:52.963,22.0,24.3,22.8,2999.782470703125,0.0,0.0,0.0,0.0,False,0.00293,0.0035210666666666665
49,49,2022-12-10 02:33:58.014,22.0,24.4,22.8,2999.782470703125,0.0,0.0,0.0,0.0,False,0.00293,0.0038166
50,50,2022-12-10 02:34:03.077,22.0,24.99,22.8,6000.30908203125,0.0,0.0,0.0,0.0,False,0.00293,0.004112133333333333
51,51,2022-12-10 02:34:08.084,22.0,25.1,22.8,6000.30908203125,0.0,0.0,0.0,0.0,False,0.00293,0.0044076666666666665
52,52,2022-12-10 02:34:13.103,22.0,25.23,22.9,6000.30908203125,0.0,0.0,0.0,0.0,False,0.00293,0.004703199999999999
53,53,2022-12-10 02:34:18.125,22.0,25.5,23.1,6000.30908203125,0.0,0.0,0.0,0.0,False,0.00293,0.004998733333333333
54,54,2022-12-10 02:34:23.159,22.0,25.73,23.2,6000.30908203125,0.0,0.0,0.0,0.0,False,0.00293,0.005294266666666666
55,55,2022-12-10 02:34:28.178,22.0,26.08,23.4,6000.30908203125,0.0,0.0,0.0,0.0,False,0.00293,0.005589799999999999
56,56,2022-12-10 02:34:33.248,22.0,26.4,23.6,6000.30908203125,0.0,0.0,0.0,0.0,False,0.00293,0.005885333333333333
57,57,2022-12-10 02:34:38.294,22.0,26.76,23.8,6000.30908203125,0.0,0.0,0.0,0.0,False,0.00293,0.0061808666666666665
58,58,2022-12-10 02:34:43.305,22.0,27.08,23.9,6000.30908203125,0.0,0.0,0.0,0.0,False,0.00293,0.0064763999999999985
59,59,2022-12-10 02:34:48.333,22.0,27.47,24.1,6000.30908203125,0.0,0.0,0.0,0.0,False,0.00293,0.006771933333333332
60,60,2022-12-10 02:34:53.353,22.0,27.8,24.2,6000.30908203125,0.0,0.0,0.0,0.0,False,0.00293,0.007067466666666666
61,61,2022-12-10 02:34:57.303,22.0,28.04,24.3,6000.30908203125,0.0,0.0,0.0,0.0,True,0.007363,0.007363
